uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description,pfam,Version_added,biosynthetic_pathway,biosynthetic_pathway_desc,Annotation_review_priority
D3W0D1,KLRF2_HUMAN,True,False,False,,False,True,KLR_add,False,False,,To_comment,Extracellular_add,,PF00059;,v4.0.0,False,,Normal
HLAA,HLAA,True,False,False,,False,True,HLA,False,False,,,,,,v4.0.0,False,,Normal
HLAB,HLAB,True,False,False,,False,True,HLA,False,False,,,,,,v4.0.0,False,,Normal
HLAC,HLAC,True,False,False,,False,True,HLA,False,False,,,,,,v4.0.0,False,,Normal
M5A8F1,SUPYN_HUMAN,False,False,True,,False,False,,False,True,retrovirus,,,retrovirus,,v4.0.0,False,,Normal
O00144,FZD9_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Extracellular_add,,PF01534;PF01392;,v4.0.0,False,,Normal
O00175,CCL24_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O00182,LEG9_HUMAN,False,False,True,Immune-related,True,False,,False,False,,To_comment,secretedhigh_add | peripheral_add,Ligand for HAVCR2/TIM3 (uniprot),PF00337;,v4.0.0,False,,Normal
O00220,TR10A_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,To_add,,TNF_receptor_add (uniprot),PF00531;PF00020;,v4.0.0,False,,Normal
O00230,CORT_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF03002;,v4.0.0,False,,Normal
O00238,BMR1B_HUMAN,True,False,False,,False,True,TGFBeta_receptor_add,False,False,,,,,PF01064;PF07714;PF08515;,v4.0.0,False,,Normal
O00241,SIRB1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add,Iglike | Receptor_add,PF07654;PF07686;,v4.0.0,False,,Normal
O00253,AGRP_HUMAN,False,False,True,,False,False,,False,False,,,,,PF05039;,v4.0.0,False,,Normal
O00292,LFTY2_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;,v4.0.0,False,,Normal
O00294,TULP1_HUMAN,False,True,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O00300,TR11B_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00531;PF00020;,v4.0.0,False,,Normal
O00421,CCRL2_HUMAN,True,False,False,,False,True,Atipical_chemokine_receptor_add,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O00451,GFRA2_HUMAN,True,False,False,,False,True,,False,False,,,,,PF02351;,v4.0.0,False,,Normal
O00468,AGRIN_HUMAN,True,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O00548,DLL1_HUMAN,True,False,False,,False,False,,False,False,,,,,PF01414;PF00008;PF12661;PF07657;,v4.0.0,False,,Normal
O00574,CXCR6_HUMAN,True,False,False,,False,True,Chemokine_receptor CXCR_add,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O00584,RNT2_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O00585,CCL21_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O00590,ACKR2_HUMAN,True,False,False,,False,True,Atipical_chemokine_receptor_add,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O00592,PODXL_HUMAN,True,False,False,,False,False,,False,False,,,,Migration,PF06365;,v4.0.0,False,,Normal
O00626,CCL22_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O00755,WNT7A_HUMAN,False,False,True,CellSignal_WNT,True,False,,False,False,,,,,PF00110;,v4.0.0,False,,Normal
O14511,NRG2_HUMAN,True,False,True,Growthfactor,True,False,,False,False,,,,,PF07679;PF02158;,v4.0.0,False,,Normal
O14625,CXL11_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O14763,TR10B_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,To_add,,TNF_receptor_add (uniprot),PF00531;PF00020;,v4.0.0,False,,Normal
O14786,NRP1_HUMAN,True,False,True,Growthfactor,True,True,,False,False,,,,,PF00431;PF11980;PF00754;PF00629;,v4.0.0,False,,Normal
O14788,TNF11_HUMAN,True,False,True,Cytokine,True,True,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
O14793,GDF8_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;,v4.0.0,False,,Normal
O14798,TR10C_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,,,,PF00020;,v4.0.0,False,,Normal
O14836,TR13B_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,To_add,,TNF_family (uniprot),PF09305;,v4.0.0,False,,Normal
O14904,WNT9A_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O14905,WNT9B_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O14931,NCTR3_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Extracellular_add,,PF07686;,v4.0.0,False,,Normal
O14944,EREG_HUMAN,True,False,True,Growthfactor,True,False,,False,False,,,,,,v4.0.0,False,,Normal
O15031,PLXB2_HUMAN,True,False,False,,False,True,,False,False,,,,,PF08337;PF01437;PF01403;PF01833;PF17960;,v4.0.0,False,,Normal
O15041,SEM3E_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00047;PF01403;,v4.0.0,False,,Normal
O15123,ANGP2_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00147;,v4.0.0,False,,Normal
O15146,MUSK_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O15197,EPHB6_HUMAN,True,False,True,,False,True,,False,True,,To_remove,,no ensembl,PF14575;PF01404;PF07699;PF00041;PF07714;PF07647;,v4.0.0,False,,Normal
O15354,GPR37_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O15444,CCL25_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O15467,CCL16_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O15520,FGF10_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00167;,v4.0.0,False,,Normal
O43157,PLXB1_HUMAN,True,False,True,,False,True,,False,False,,,,Migration,PF08337;PF01437;PF01403;PF01833;PF18020;PF17960;,v4.0.0,False,,Normal
O43193,MTLR_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O43323,DHH_HUMAN,True,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O43508,TNF12_HUMAN,True,False,True,Cytokine,True,False,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
O43555,GON2_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00446;,v4.0.0,False,,Normal
O43557,TNF14_HUMAN,True,False,True,Cytokine,True,False,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
O43603,GALR2_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O43612,OREX_HUMAN,False,False,True,,False,False,,False,False,,To_add | To_comment,secreted_add | extracellular_add,Genecards: hypothalamic neuropeptide precursor protein,PF02072;,v4.0.0,False,,Normal
O43613,OX1R_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O43614,OX2R_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;PF03827;,v4.0.0,False,,Normal
O43914,TYOBP_HUMAN,True,False,False,,False,False,,False,False,,To_add,,complex,,v4.0.0,False,,Normal
O43915,VEGFD_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00341;,v4.0.0,False,,Normal
O43921,EFNA2_HUMAN,True,False,False,,False,False,,False,False,,To_comment,extracellular_add,ligandIUPHAR,PF00812;,v4.0.0,False,,Normal
O43927,CXL13_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
O60258,FGF17_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00167;,v4.0.0,False,,Normal
O60353,FZD6_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Extracellular_add,,PF01534;PF01392;,v4.0.0,False,,Normal
O60383,GDF9_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;,v4.0.0,False,,Normal
O60462,NRP2_HUMAN,True,False,True,Growthfactor,False,True,,False,False,,To_add | To_comment,secretedhigh_add,High affinity receptor for semaphorins | Growthfactor (uniprot),PF00431;PF11980;PF00754;PF00629;,v4.0.0,False,,Normal
O60469,DSCAM_HUMAN,True,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O60486,PLXC1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,transmembrane_add | receptor_add | extracellular_add,"Uniprot: Receptor for SEMA7A, for smallpox semaphorin A39R, vaccinia virus semaphorin A39R and for herpesvirus Sema protein",PF08337;PF01437;PF01833;,v4.0.0,False,,Normal
O60494,CUBN_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O60542,PSPN_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00019;,v4.0.0,False,,Normal
O60609,GFRA3_HUMAN,True,False,False,,False,True,,False,False,,,,,PF02351;,v4.0.0,False,,Normal
O60755,GALR3_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O60883,ETBR2_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O60894,RAMP1_HUMAN,True,False,False,,False,True,,False,False,,To_add,,complex,,v4.0.0,False,,Normal
O60895,RAMP2_HUMAN,True,False,False,,False,True,,False,False,,To_add,,complex,,v4.0.0,False,,Normal
O60896,RAMP3_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O75051,PLXA2_HUMAN,True,False,False,,False,False,,False,False,,,,,PF08337;PF01437;PF01403;PF01833;PF18020;PF17960;,v4.0.0,False,,Normal
O75084,FZD7_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Extracellular_add,,PF01534;PF01392;,v4.0.0,False,,Normal
O75093,SLIT1_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O75096,LRP4_HUMAN,True,False,False,,False,True,,False,False,,To_add,,ligandIUPHAR,,v4.0.0,False,,Normal
O75144,ICOSL_HUMAN,True,False,False,,False,False,,False,False,,To_add|To_comment,Extracellular_add,Iglike,PF07686;,v4.0.0,False,,Normal
O75197,LRP5_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,extracellular_add,Component of the Wnt-Fzd-LRP5-LRP6 complex (uniprot),PF00057;PF00058;,v4.0.0,False,,Normal
O75326,SEM7A_HUMAN,True,False,False,,False,False,,False,False,,,,Possible_receptor,PF13895;PF01437;PF01403;,v4.0.0,False,,Normal
O75473,LGR5_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00560;PF13855;PF01462;,v4.0.0,False,,Normal
O75509,TNR21_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,,,,,v4.0.0,False,,Normal
O75578,ITA10_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Integrin (uniprot),PF01839;PF08441;PF00092;,v4.0.0,False,,Normal
O75581,LRP6_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00057;PF00058;,v4.0.0,False,,Normal
O75610,LFTY1_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;,v4.0.0,False,,Normal
O75888,TNF13_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
O94813,SLIT2_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O94907,DKK1_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O95136,S1PR2_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O95150,TNF15_HUMAN,True,False,True,Cytokine,True,False,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
O95185,UNC5C_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O95256,I18RA_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,Iglike,PF13895;PF18452;PF01582;,v4.0.0,False,,Normal
O95264,5HT3B_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O95390,GDF11_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;,v4.0.0,False,,Normal
O95393,BMP10_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;,v4.0.0,False,,Normal
O95399,UTS2_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF02083;,v4.0.0,False,,Normal
O95407,TNF6B_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00020;,v4.0.0,False,,Normal
O95631,NET1_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
O95715,CXL14_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,,v4.0.0,False,,Normal
O95727,CRTAM_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Extracellular_add,Iglike | Possible_receptor,PF08205;PF07686;,v4.0.0,False,,Normal
O95750,FGF19_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00167;,v4.0.0,False,,Normal
O95760,IL33_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF15095;,v4.0.0,False,,Normal
O95800,GPR75_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;,v4.0.0,False,,Normal
O95813,CER1_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF03045;,v4.0.0,False,,Normal
O95838,GLP2R_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00002;PF02793;,v4.0.0,False,,Normal
O95971,BY55_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
O95972,BMP15_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;,v4.0.0,False,,Normal
O96014,WNT11_HUMAN,False,False,True,CellSignal_WNT,True,False,,False,False,,,,,PF00110;,v4.0.0,False,,Normal
P00533,EGFR_HUMAN,True,False,True,,False,True,Estrogen_receptor_add,False,False,,,,,PF00757;PF14843;PF07714;PF01030;,v4.0.0,False,,Normal
P00734,THRB_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00594;PF00051;PF09396;PF00089;,v4.0.0,False,,Normal
P00742,FA10_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00008;PF00594;PF00089;,v4.0.0,False,,Normal
P00747,PLMN_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00051;PF00024;PF00089;,v4.0.0,False,,Normal
P00749,UROK_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P00797,RENI_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P01019,ANGT_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00079;,v4.0.0,False,,Normal
P01024,CO3_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00207;PF07703;PF07677;PF01821;PF17790;PF01835;PF17791;PF17789;PF01759;PF07678;,v4.0.0,False,,Normal
P01031,CO5_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00207;PF07703;PF07677;PF01821;PF17790;PF01835;PF17791;PF17789;PF01759;PF07678;,v4.0.0,False,,Normal
P01042,KNG1_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00031;,v4.0.0,False,,Normal
P01127,PDGFB_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00341;PF04692;,v4.0.0,False,,Normal
P01133,EGF_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,To_add | To_comment,secreted_add | secreted_high| extracellular _add,Uniprot: EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture.,PF00008;PF07645;PF00058;,v4.0.0,False,,Normal
P01135,TGFA_HUMAN,True,False,True,Growthfactor,True,False,,False,False,,,,,,v4.0.0,False,,Normal
P01137,TGFB1_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00019;PF00688;,v4.0.0,False,,Normal
P01138,NGF_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF00243;,v4.0.0,False,,Normal
P01148,GON1_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00446;,v4.0.0,False,,Normal
P01160,ANF_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00212;,v4.0.0,False,,Normal
P01178,NEU1_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00220;PF00184;,v4.0.0,False,,Normal
P01185,NEU2_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00220;PF00184;,v4.0.0,False,,Normal
P01189,COLI_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00976;PF08384;PF08035;,v4.0.0,False,,Normal
P01210,PENK_HUMAN,False,False,True,,False,False,,False,False,,,,,PF01160;,v4.0.0,False,,Normal
P01213,PDYN_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P01215,GLHA_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00236;,v4.0.0,False,,Normal
P01222,TSHB_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00007;,v4.0.0,False,,Normal
P01225,FSHB_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00007;,v4.0.0,False,,Normal
P01229,LSHB_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00007;,v4.0.0,False,,Normal
P01236,PRL_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00103;,v4.0.0,False,,Normal
P01241,SOMA_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00103;,v4.0.0,False,,Normal
P01242,SOM2_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00103;,v4.0.0,False,,Normal
P01258,CALC_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00214;,v4.0.0,False,,Normal
P01266,THYG_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00135;PF07699;PF00086;,v4.0.0,False,,Normal
P01270,PTHY_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF01279;,v4.0.0,False,,Normal
P01275,GLUC_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00123;,v4.0.0,False,,Normal
P01282,VIP_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00123;,v4.0.0,False,,Normal
P01286,SLIB_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00123;,v4.0.0,False,,Normal
P01308,INS_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00049;,v4.0.0,False,,Normal
P01344,IGF2_HUMAN,False,False,True,Growthfactor | Hormone,True,False,,False,False,,,,,PF08365;PF00049;,v4.0.0,False,,Normal
P01350,GAST_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00918;,v4.0.0,False,,Normal
P01374,TNFB_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
P01375,TNFA_HUMAN,True,False,True,Cytokine,True,False,,False,False,,,,,PF00229;,v4.0.0,False,,Normal
IFNA1,IFNA1,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01563,IFNA2_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01566,IFN10_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01567,IFNA7_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01568,IFN21_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01569,IFNA5_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01570,IFN14_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01571,IFN17_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01574,IFNB_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00143;,v4.0.0,False,,Normal
P01579,IFNG_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00714;,v4.0.0,False,,Normal
P01583,IL1A_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00340;PF02394;,v4.0.0,False,,Normal
P01584,IL1B_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00340;PF02394;,v4.0.0,False,,Normal
P01588,EPO_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF00758;,v4.0.0,False,,Normal
P01589,IL2RA_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,Cytokine_receptor_add (uniprot),PF00084;,v4.0.0,False,,Normal
P01732,CD8A_HUMAN,True,False,True,,False,True,,False,False,,To_comment,Receptor_add,,PF07686;,v4.0.0,False,,Normal
P02452,CO1A1_HUMAN,False,False,True,,False,False,,False,False,,,,collagen,PF01410;PF01391;PF00093;,v4.0.0,False,,Normal
P02458,CO2A1_HUMAN,False,False,True,,False,False,,False,False,,,,collagen,PF01410;PF01391;PF00093;,v4.0.0,False,,Normal
P02461,CO3A1_HUMAN,False,False,True,,False,False,,False,False,,,,collagen,PF01410;PF01391;PF00093;,v4.0.0,False,,Normal
P02462,CO4A1_HUMAN,False,False,True,,False,False,,False,False,,,,collagen,PF01413;PF01391;,v4.0.0,False,,Normal
P02647,APOA1_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P02649,APOE_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P02652,APOA2_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P02671,FIBA_HUMAN,False,False,True,,False,False,,False,False,,,,,PF08702;PF12160;PF00147;,v4.0.0,False,,Normal
P02675,FIBB_HUMAN,False,False,True,,False,False,,False,False,,,,,PF08702;PF00147;,v4.0.0,False,,Normal
P02679,FIBG_HUMAN,False,False,True,,False,False,,False,False,,,,,PF08702;PF00147;,v4.0.0,False,,Normal
P02708,ACHA_HUMAN,True,False,False,,False,True,,False,False,,,,,,v4.0.0,False,,Normal
P02751,FINC_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00039;PF00040;PF00041;,v4.0.0,False,,Normal
P02753,RET4_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P02768,ALBU_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00273;,v4.0.0,False,,Normal
P02775,CXCL7_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
P02776,PLF4_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
P02778,CXL10_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;,v4.0.0,False,,Normal
P02786,TFR1_HUMAN,True,False,True,,False,True,,False,False,,,,,PF02225;PF04389;PF04253;,v4.0.0,False,,Normal
P02787,TRFE_HUMAN,False,False,True,,False,False,,False,False,,,,,,v4.0.0,False,,Normal
P03971,MIS_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,PF04709;PF00019;,v4.0.0,False,,Normal
