id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,Interaction_type,Pathway_classification,Pathway_classification_specific,Pathway_classification_alternative,Reactome_classification
,Acetylcholine_byCHAT,P02708,,ACHA_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-629596,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,P36544,,ACHA7_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-629596,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,P11229,,ACM1_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390649,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,P08172,,ACM2_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390673,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,P20309,,ACM3_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390649,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,P08173,,ACM4_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390673,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Acetylcholine_byCHAT,P08912,,ACM5_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390649,,,,ligand-receptor,Acetylcholine,,,Transmission across Chemical Synapses
,Activin_ligand_ab,ACVR_1A2A_receptor,,,curated,less_common_binding;PMID:22710174;PMID:22991378_,True,RVentoTormo,,,,,,ligand-receptor,Activin,,,Signaling by Activin
,Activin_ligand_ab,ACVR_1A2B_receptor,,,curated,less_common_binding;PMID:22710174;PMID:22991378_,True,RVentoTormo,,,,,,ligand-receptor,Activin,,,Signaling by Activin
,Activin_ligand_ab,ACVR_1B2A_receptor,,,curated,PMID:22710174;PMID:22991378,True,RVentoTormo,,,,,,ligand-receptor,Activin,,,Signaling by Activin
,Activin_ligand_ab,ACVR_1B2B_receptor,,,curated,PMID:22710174;PMID:22991378,True,RVentoTormo,,,,,,ligand-receptor,Activin,,,Signaling by Activin
,Activin_ligand_ab,ACVR_1C2A_receptor,,,curated,PMID:22710174;PMID:22991378,True,RVentoTormo,,,,,,ligand-receptor,Activin,,,Signaling by Activin
,Activin_ligand_ab,ACVR_1C2B_receptor,,,curated,PMID:22710174;PMID:22991378,True,RVentoTormo,,,,,,ligand-receptor,Activin,,,Signaling by Activin
,Q15848,ADR_complex,ADIPO_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-8848663,,,,ligand-receptor,Adiponectin ,,,
,Q7Z4H4,RAMP2_complex,ADM2_HUMAN,,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Adrenomedullin,,,Signaling by GPCR
,Q7Z4H4,RAMP3_complex,ADM2_HUMAN,,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Adrenomedullin,,,Signaling by GPCR
,P35318,RAMP3_complex,ADML_HUMAN,,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Adrenomedullin,,,Signaling by GPCR
,P35318,O60896,ADML_HUMAN,RAMP3_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Adrenomedullin,,,Signaling by GPCR
,O00468,LRP4_MUSK_complex,AGRIN_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-2467633,,,,ligand-receptor,Agrin,,,Extracellular matrix organization
,O00468,P13591,AGRIN_HUMAN,NCAM1_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-2467659,,,,adhesion-adhesion,Agrin,,,NCAM1 interactions|Extracellular matrix organization
,O00468,Q13332,AGRIN_HUMAN,PTPRS_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-2467659,,,,ligand-receptor,Agrin,,,Extracellular matrix organization
,O00253,P41968,AGRP_HUMAN,MC3R_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Agouti-related protein,,,
,O00253,P32245,AGRP_HUMAN,MC4R_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Agouti-related protein,,,
,P02768,FcRn_complex,ALBU_HUMAN,,curated,PDB:4n0;PDB:4k7,True,RVentoTormo,,,,,,ligand-receptor,Albumin precursor,,Neonatal receptor,
,AldosteroneCorticosterone_byCYP11B2,P04150,,GCR_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,ligand-receptor,Aldosterone Corticosterone,,,
,AldosteroneCorticosterone_byCYP11B2,P08235,,MCR_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,ligand-receptor,Aldosterone Corticosterone,,,
,P30533,Q99523,AMRP_HUMAN,SORT_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,,,Sortilin,
,Androstenedione_byCYP17A1,P10275,,ANDR_HUMAN,curated,HMRbase;reactome,False,LGarciaAlonso,R-HSA-5618087,,,,,ligand-receptor,Androgen,,,Signaling by Androgen
,Androsterone_byHSD17B6,Q96RI1,,NR1H4_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,ligand-receptor,Androsterone,,,
,P01160,P16066,ANF_HUMAN,ANPRA_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Natriuretic peptides A,,,
,Q15389,Q02763,ANGP1_HUMAN,TIE2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,Angiopoietin ,,,RAF/MAP kinase cascade
,O15123,Q02763,ANGP2_HUMAN,TIE2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,Angiopoietin ,,,
,Q9Y264,Q02763,ANGP4_HUMAN,TIE2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,Angiopoietin ,,,
,P01019,P30556,ANGT_HUMAN,AGTR1_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-389873,,,,,ligand-receptor,Angiotensinogen ,,,Signaling by GPCR
,P01019,P50052,ANGT_HUMAN,AGTR2_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-389873,,,,,ligand-receptor,Angiotensinogen ,,,Signaling by GPCR
,P04083,P25090,ANXA1_HUMAN,FPR2_HUMAN,curated,PMID:22610094;reactome,True,RVentoTormo,R-HSA-416459,,,,,ligand-receptor,Annexin,,,Signaling by GPCR
,P04083,P25089,ANXA1_HUMAN,FPR3_HUMAN,curated,reactome,True,LGarciaAlonso,R-HSA-444847,R-HSA-444476,,,,ligand-receptor,Annexin,,,Signaling by GPCR
,Q9ULZ1,P35414,APEL_HUMAN,APJ_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-374316,,,,,ligand-receptor,Apelin,,,Signaling by GPCR
,P02647,O95477,APOA1_HUMAN,ABCA1_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-216727,,,,ligand-receptor,Apolipoprotein ,,,
,P02647,CUBN_AMN_complex,APOA1_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-264848,,,,ligand-receptor,Apolipoprotein ,,,
,P02647,TREM2_receptor,APOA1_HUMAN,,curated,uniprot;PMID:27477018,True,LGarciaAlonso,,,,,,ligand-receptor,Apolipoprotein ,,,
,P02652,TREM2_receptor,APOA2_HUMAN,,curated,uniprot;PMID:27477017,True,LGarciaAlonso,,,,,,ligand-receptor,Apolipoprotein ,,,
,P04114,Q0VD83,APOB_HUMAN,APOBR_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Apolipoprotein ,,,
,P04114,TREM2_receptor,APOB_HUMAN,,curated,uniprot;PMID:27477016,True,LGarciaAlonso,,,,,,ligand-receptor,Apolipoprotein ,,,
,P02649,TREM2_receptor,APOE_HUMAN,,curated,uniprot;PMID:27477015,True,LGarciaAlonso,,,,,,ligand-receptor,Apolipoprotein ,,,
,P15514,P00533,AREG_HUMAN,EGFR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,Epidermal growth factor,,,ESR-mediated signaling|Signaling by EGFR|Signaling by Receptor Tyrosine Kinases|EGFR downregulation|RAF/MAP kinase cascade
,Q5T4W7,RET_receptor_1,ARTN_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,RET receptors,,GNDF,NCAM1 interactions|RET signaling|RAF/MAP kinase cascade
,Q5T4W7,RET_receptor_3,ARTN_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,RET receptors,,GNDF,RET signaling|RAF/MAP kinase cascade
,P42127,Q01726,ASIP_HUMAN,MSHR_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Agouti-related protein,,,
,atRetinoicAcid_byALDH1A1,RAreceptor_RARA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RARA_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RARB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RARB_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RARG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RARG_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,RAreceptor_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A1,Q92753,,RORB_HUMAN,curated,uniprot,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A1,,
,atRetinoicAcid_byALDH1A2,RAreceptor_RARA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RARA_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RARB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RARB_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RARG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RARG_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,RAreceptor_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A2,Q92753,,RORB_HUMAN,curated,uniprot,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A2,,
,atRetinoicAcid_byALDH1A3,RAreceptor_RARA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RARA_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RARB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RARB_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RARG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RARG_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-5334854,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RXRA,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RXRB,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,RAreceptor_RXRG,,,curated,uniprot;reactome,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,Signaling by Retinoic Acid
,atRetinoicAcid_byALDH1A3,Q92753,,RORB_HUMAN,curated,uniprot,False,LGarciaAlonso,,,,,,ligand-receptor,Retinoic acid,Retinoic acid ALDH1A3,,
,P46379,O14931,BAG6_HUMAN,NCTR3_HUMAN,curated,activating_interaction_from_uniprot,True,RVentoTormo,,,,,,ligand-receptor,,,Natural cytotoxicity triggering receptor,
,P23560,Q16620,BDNF_HUMAN,NTRK2_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,Brain-derived neurotrophic factor,,,Signaling by NTRKs|Signaling by Receptor Tyrosine Kinases
,P23560,Q99523,BDNF_HUMAN,SORT_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,ligand-receptor,Brain-derived neurotrophic factor,,Sortilin,
,P23560,P08138,BDNF_HUMAN,TNR16_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,ligand-receptor,Brain-derived neurotrophic factor,,,
,O95393,ACVL1_ACVR2A,BMP10_HUMAN,,curated,PMID:25136781,True,LGarciaAlonso,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP10,,Signaling by BMP
,O95393,ACVL1_BMPR2,BMP10_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP10,,Signaling by BMP
,O95972,BMPR1B_BMPR2,BMP15_HUMAN,,curated,PMID:22710174;PMID:12419820,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP15,,Signaling by BMP
,P12643,BMPR1A_BMPR2,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP2,,Signaling by BMP
,P12643,BMPR1B_BMPR2,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP2,,Signaling by BMP
,P12643,BMR1A_ACR2A,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP2,,Signaling by BMP
,P12643,BMR1A_AVR2B,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP2,,Signaling by BMP
,P12643,BMR1B_AVR2A,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP2,,Signaling by BMP
,P12643,BMR1B_AVR2B,BMP2_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP2,,Signaling by BMP
,P12644,BMPR1A_BMPR2,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP4,,Signaling by BMP
,P12644,BMPR1B_BMPR2,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP4,,Signaling by BMP
,P12644,BMR1A_ACR2A,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP4,,Signaling by BMP
,P12644,BMR1A_AVR2B,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP4,,Signaling by BMP
,P12644,BMR1B_AVR2A,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP4,,Signaling by BMP
,P12644,BMR1B_AVR2B,BMP4_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP4,,Signaling by BMP
,P22003,ACVR_1A2A_receptor,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,ACVR_1A2B_receptor,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,ACVR1_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,BMPR1A_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,BMPR1B_BMPR2,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,BMR1A_ACR2A,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,BMR1A_AVR2B,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,BMR1B_AVR2A,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22003,BMR1B_AVR2B,BMP5_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP5,,Signaling by BMP
,P22004,ACVR_1A2A_receptor,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
,P22004,ACVR_1A2B_receptor,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
,P22004,ACVR1_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
,P22004,BMPR1A_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
,P22004,BMPR1B_BMPR2,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
,P22004,BMR1A_ACR2A,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
,P22004,BMR1A_AVR2B,BMP6_HUMAN,,curated,PMID:22710174,True,RVentoTormo,,,,,,ligand-receptor,Bone morphogenetic protein,Bone morphogenetic protein BMP6,,Signaling by BMP
